X,Y,CCN,ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_ID,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,SE_ANNO_CAD_DATA
-8573291.18819707,4708949.54000376,13005668,3rd St NW and Q St NW,2013/01/13 05:00:00+00,1808-1809,2013/01/13 05:00:00+00,2013,1,5D,Ward 5,Sexual Orientation,,Simple Assault,901240,398683.19001273,138139.95001363,38.91112116,-77.01518281,,,MPD,2024/02/16 21:02:52+00,7399,
-8574028.39538663,4717080.44288194,13016960,600 block of Tewkesbury Pl NW,2013/02/05 05:00:00+00,2200,2013/02/07 05:00:00+00,2013,2,4D,Ward 4,Religion,Jewish,Damage/Defacing/Destruction of Property,803021,398110.33,144446.71,38.96793325,-77.02180525,,,MPD,2024/02/16 21:02:52+00,7400,
-8574159.30692266,4707779.62538352,13017988,800 block of Mt Vernon Pl NW,2013/02/09 05:00:00+00,1400-1405,2013/02/09 05:00:00+00,2013,2,3D,Ward 2,Sexual Orientation,,Simple Assault,813971,398006.6,137232.25,38.90294301,-77.02298125,,,MPD,2024/02/16 21:02:52+00,7401,
-8572501.63192,4698018.16003319,13024055,3800 block of South Capitol St SE,2013/02/22 05:00:00+00,1440-1448,2013/02/22 05:00:00+00,2013,2,7D,Ward 8,Gender Identity/Expression,,ADW,811674,399297.59,129653.21,38.83466991,-77.00809011,,,MPD,2024/02/16 21:02:52+00,7402,
-8575301.47460167,4709790.15487355,13027781,1400 block of U St NW,2013/03/03 05:00:00+00,0159-0200,2013/03/03 05:00:00+00,2013,3,3D,Ward 1/Ward 2,Sexual Orientation,,Simple Assault,802845,397117.19,138792.61,38.9169968,-77.03324151,,,MPD,2024/10/08 19:02:29+00,7403,
-8576015.21725312,4710886.08619544,13031810,1700 block of Columbia Rd NW,2013/03/11 04:00:00+00,2034,2013/03/11 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Threats,800952,396561.52,139643.1,38.92465629,-77.03965317,,,MPD,2024/02/16 21:02:52+00,7404,
-8567953.46039967,4702732.42187751,13032136,2800 block of Texas Ave SE Apt B5,2013/03/12 04:00:00+00,1400,2013/03/12 04:00:00+00,2013,3,6D,Ward 7,Sexual Orientation,,Threats,801310,402843.60777659,133314.74866515,38.86765032,-76.9672332,,,MPD,2024/02/16 21:02:52+00,7405,
-8573361.90150248,4709719.59810891,13033386,1900 block of 3rd St NW,2013/03/14 04:00:00+00,2249-2250,2013/03/14 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Simple Assault,805459,398628.2,138737.46,38.91650365,-77.01581803,,,MPD,2024/02/16 21:02:52+00,7406,
-8570973.11847618,4707387.56982497,13036237,800 block of H St NE,2013/03/20 04:00:00+00,1737,2013/03/20 04:00:00+00,2013,3,1D,Ward 6,Gender Identity/Expression,,Simple Assault,812904,400489.3,136927.76,38.90020218,-76.99435924,,,MPD,2024/02/16 21:02:52+00,7407,
-8574267.73757176,4709789.20412104,13037458,9th St NW and U St NW,2013/03/23 04:00:00+00,0210-0215,2013/03/23 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Simple Assault,900954,397922.51999603,138791.61999823,38.91699015,-77.0239553,,,MPD,2024/02/16 21:02:52+00,7408,
