ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_LATITUDE,MAR_LONGITUDE,YEAR,DAY_OF_WEEK,MONTH_NAME
3rd St NW and Q St NW,2013-01-13 05:00:00+00:00,1808-1809,2013/01/13 05:00:00+00,2013,1,5D,Ward 5,Sexual Orientation,,Simple Assault,38.91112116,-77.01518281,2013,Sunday,January
600 block of Tewkesbury Pl NW,2013-02-05 05:00:00+00:00,2200,2013/02/07 05:00:00+00,2013,2,4D,Ward 4,Religion,Jewish,Damage/Defacing/Destruction of Property,38.96793325,-77.02180525,2013,Tuesday,February
800 block of Mt Vernon Pl NW,2013-02-09 05:00:00+00:00,1400-1405,2013/02/09 05:00:00+00,2013,2,3D,Ward 2,Sexual Orientation,,Simple Assault,38.90294301,-77.02298125,2013,Saturday,February
3800 block of South Capitol St SE,2013-02-22 05:00:00+00:00,1440-1448,2013/02/22 05:00:00+00,2013,2,7D,Ward 8,Gender Identity/Expression,,ADW,38.83466991,-77.00809011,2013,Friday,February
1400 block of U St NW,2013-03-03 05:00:00+00:00,0159-0200,2013/03/03 05:00:00+00,2013,3,3D,Ward 1/Ward 2,Sexual Orientation,,Simple Assault,38.9169968,-77.03324151,2013,Sunday,March
1700 block of Columbia Rd NW,2013-03-11 04:00:00+00:00,2034,2013/03/11 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Threats,38.92465629,-77.03965317,2013,Monday,March
2800 block of Texas Ave SE Apt B5,2013-03-12 04:00:00+00:00,1400,2013/03/12 04:00:00+00,2013,3,6D,Ward 7,Sexual Orientation,,Threats,38.86765032,-76.9672332,2013,Tuesday,March
1900 block of 3rd St NW,2013-03-14 04:00:00+00:00,2249-2250,2013/03/14 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Simple Assault,38.91650365,-77.01581803,2013,Thursday,March
800 block of H St NE,2013-03-20 04:00:00+00:00,1737,2013/03/20 04:00:00+00,2013,3,1D,Ward 6,Gender Identity/Expression,,Simple Assault,38.90020218,-76.99435924,2013,Wednesday,March
9th St NW and U St NW,2013-03-23 04:00:00+00:00,0210-0215,2013/03/23 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Simple Assault,38.91699015,-77.0239553,2013,Saturday,March
1700 block of Columbia Rd NW,2013-04-06 04:00:00+00:00,0124,2013/04/06 04:00:00+00,2013,4,3D,Ward 1,Race,Asian,Simple Assault,38.92465629,-77.03965317,2013,Saturday,April
4400 block of Texas Ave SE,2013-04-10 04:00:00+00:00,1904,2013/04/10 04:00:00+00,2013,4,6D,Ward 7,Ethnicity/National Origin,Latino/Hispanic,ADW,38.88413816,-76.94114016,2013,Wednesday,April
Howard Rd SE and Martin Luther King Jr Ave SE,2013-04-10 04:00:00+00:00,1044,2013/04/10 04:00:00+00,2013,4,7D,Ward 8,Sexual Orientation,,Simple Assault,38.86150221,-76.99379601,2013,Wednesday,April
1300 block of 14th St NW,2013-04-25 04:00:00+00:00,5300,2013/04/25 04:00:00+00,2013,4,3D,Ward 2,Sexual Orientation,,Robbery,38.90803854,-77.03195018,2013,Thursday,April
11th St NW and Rhode Island Ave NW,2013-05-03 04:00:00+00:00,1800,2013/05/05 04:00:00+00,2013,5,3D,Ward 2,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.9105479,-77.02703942,2013,Friday,May
1600 block of Maryland Ave NE,2013-05-12 04:00:00+00:00,1800-1900,2013/05/14 04:00:00+00,2013,5,5D,Ward 5,Sexual Orientation,,Simple Assault,38.9015468,-76.97993763,2013,Sunday,May
500 block of 17th St NE,2013-05-21 04:00:00+00:00,0115-0118,2013/05/21 04:00:00+00,2013,5,5D,Ward 7,Race,White,Simple Assault,38.89643022,-76.98040974,2013,Tuesday,May
1800 block of New Hampshire Ave NW,2013-06-01 04:00:00+00:00,0215,2013/06/01 04:00:00+00,2013,6,3D,Ward 2,Sexual Orientation,,Robbery,38.91431655,-77.0390619,2013,Saturday,June
1300 block of 49th St NE,2013-06-04 04:00:00+00:00,1800,2013/06/04 04:00:00+00,2013,6,6D,Ward 7,Sexual Orientation,,Simple Assault,38.90786564,-76.93166221,2013,Tuesday,June
5200 block of Cloud Pl NE,2013-06-07 04:00:00+00:00,1957,2013/06/07 04:00:00+00,2013,6,6D,Ward 7,Race,White,Threats,38.89435783,-76.92601445,2013,Friday,June
3800 block of 1st St SE,2013-06-13 04:00:00+00:00,1825-1830,2013/06/13 04:00:00+00,2013,6,7D,Ward 8,Sexual Orientation,,Simple Assault,38.83374686,-77.00588449,2013,Thursday,June
500 block of Massachusetts Ave NW,2013-06-14 04:00:00+00:00,2123-2124,2013/06/14 04:00:00+00,2013,6,1D,Ward 2,Sexual Orientation,,Simple Assault,38.90122147,-77.0192033,2013,Friday,June
16th St SE and Good Hope Rd SE,2013-06-15 04:00:00+00:00,1248,2013/06/15 04:00:00+00,2013,6,7D,Ward 8,Sexual Orientation,,Simple Assault,38.86624683,-76.98222709,2013,Saturday,June
1500 block of Tinidad Ave NE,2013-06-20 04:00:00+00:00,1841-1855,2013/06/20 04:00:00+00,2013,6,5D,Ward 5,Race,White,Threats,38.90548246,-76.98467197,2013,Thursday,June
1800 block of 14th St NW,2013-06-24 04:00:00+00:00,2100,2013/06/24 04:00:00+00,2013,6,3D,Ward 2,Gender Identity/Expression,,Simple Assault,38.91446221,-77.03195329,2013,Monday,June
500 block of Eastern Ave NE,2013-06-27 04:00:00+00:00,0535-0536,2013/06/27 04:00:00+00,2013,6,6D,Ward 7,Gender Identity/Expression,,ADW,38.89629157,-76.91376529,2013,Thursday,June
2300 block of Good Hope Rd SE,2013-07-03 04:00:00+00:00,2030-2040,2013/07/03 04:00:00+00,2013,7,7D,Ward 8,Sexual Orientation,,ADW,38.86353456,-76.97397204,2013,Wednesday,July
400 block of K St NW,2013-07-07 04:00:00+00:00,1810-1200,2013/07/08 04:00:00+00,2013,7,1D,Ward 6,Race,Black,Threats,38.90252002,-77.01691684,2013,Sunday,July
1300 block of H St NW,2013-07-09 04:00:00+00:00,1345,2013/07/09 04:00:00+00,2013,7,2D,Ward 2,Race,Multiple,Threats,38.89982776,-77.03001819,2013,Tuesday,July
14th St NW and W St NW,2013-07-11 04:00:00+00:00,2155-2215,2013/07/11 04:00:00+00,2013,7,3D,Ward 1,Sexual Orientation,,ADW,38.91918483,-77.03195149,2013,Thursday,July
1300 block of U Street NW,2013-07-14 04:00:00+00:00,0219,2013/07/14 04:00:00+00,2013,7,3D,Ward 1,Race,White,Simple Assault,38.91700008,-77.03078611,2013,Sunday,July
2300 block of Champlain St NW,2013-07-14 04:00:00+00:00,0248,2013/07/14 04:00:00+00,2013,7,3D,Ward 1,Race,Black,Simple Assault,38.92161694,-77.04129843,2013,Sunday,July
2100 block of 18th St NW,2013-07-21 04:00:00+00:00,0418,2013/07/21 04:00:00+00,2013,7,3D,Ward 1,Race,White,ADW,38.9182812,-77.04168083,2013,Sunday,July
600 block of H St NW,2013-07-26 04:00:00+00:00,2340-2349,2013/07/26 04:00:00+00,2013,7,1D,Ward 2,Gender Identity/Expression,,Simple Assault,38.89981191,-77.0209122,2013,Friday,July
1700 block of Euclid St NW,2013-07-27 04:00:00+00:00,0126,2013/07/27 04:00:00+00,2013,7,3D,Ward 1,Race,White,Robbery,38.92313777,-77.03961023,2013,Saturday,July
1st ST NE and Pierce St NE,2013-08-01 04:00:00+00:00,2100-2105,2013/08/02 04:00:00+00,2013,8,1D,Ward 6,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.90468689,-77.00588564,2013,Thursday,August
Georgia Ave NW and Upshur St NW,2013-08-04 04:00:00+00:00,1100-1101,2013/08/04 04:00:00+00,2013,8,4D,Ward 4,Gender Identity/Expression,,ADW,38.94187258,-77.0255143,2013,Sunday,August
1400 block of V St NW,2013-08-24 04:00:00+00:00,0051,2013/08/24 04:00:00+00,2013,8,3D,Ward 1,Gender Identity/Expression,,ADW,38.91811437,-77.03324134,2013,Saturday,August
4500 block of Benning Rd SE,2013-09-03 04:00:00+00:00,2133,2013/09/03 04:00:00+00,2013,9,6D,Ward 7,Ethnicity/National Origin,Asian,Simple Assault,38.88909391,-76.93725137,2013,Tuesday,September
600 block of H St NW,2013-09-08 04:00:00+00:00,1555-1559,2013/09/08 04:00:00+00,2013,9,1D,Ward 2,Race,Asian,Simple Assault,38.89981191,-77.0209122,2013,Sunday,September
2000 block of 2nd St NE,2013-09-14 04:00:00+00:00,0150,2013/09/14 04:00:00+00,2013,9,5D,Ward 5,Sexual Orientation,,Simple Assault,38.91727614,-77.00351095,2013,Saturday,September
2600 block of Connecticut Ave NW,2013-09-17 04:00:00+00:00,13-133719,2013/09/17 04:00:00+00,2013,9,2D,Ward 3,Religion,Jewish,Damage/Defacing/Destruction of Property,38.92419981,-77.05190312,2013,Tuesday,September
2600 block of Stanton Rd SE,2013-10-08 04:00:00+00:00,2230-2238,2013/10/08 04:00:00+00,2013,10,7D,Ward 8,Sexual Orientation,,Robbery,38.85842305,-76.99254238,2013,Tuesday,October
5300 block of E St SE,2013-10-17 04:00:00+00:00,1643,2013/10/17 04:00:00+00,2013,10,6D,Ward 7,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.88184753,-76.92561776,2013,Thursday,October
Harvard St NW and Sherman Ave NW,2013-10-19 04:00:00+00:00,0030,2013/10/19 04:00:00+00,2013,10,3D,Ward 1,Sexual Orientation,,ADW,38.92685376,-77.0259392,2013,Saturday,October
1100 block of Pennsylvania Ave SE,2013-10-26 04:00:00+00:00,1500,2013/10/26 04:00:00+00,2013,10,1D,Ward 6,Gender Identity/Expression,,Simple Assault,38.88251996,-76.99088681,2013,Saturday,October
7th St NW and Mount Vernon Pl NW,2013-10-26 04:00:00+00:00,0228,2013/10/26 04:00:00+00,2013,10,3D,Ward 6,Gender Identity/Expression,,Simple Assault,38.90293884,-77.02191907,2013,Saturday,October
2100 block of 16th St NW,2013-12-18 05:00:00+00:00,1951,2013/12/18 05:00:00+00,2013,12,3D,Ward 1,Race,Black,Simple Assault,38.91862967,-77.03649845,2013,Wednesday,December
400 block of Xenia St SE,2013-12-19 05:00:00+00:00,0815-0820,2013/12/19 05:00:00+00,2013,12,7D,Ward 8,Race,Unspecified,ADW,38.8330166,-76.99971667,2013,Thursday,December
2400 block of Alabama Ave SE,2014-01-03 05:00:00+00:00,0242,2014/01/01 05:00:00+00,2014,1,7D,Ward 8,Sexual Orientation,,Robbery,38.85165875,-76.97135406,2014,Friday,January
5300 block of RockCreek Church Rd NE,2014-01-26 05:00:00+00:00,0129-0140,2014/01/26 05:00:00+00,2014,1,4D,Ward 5,Sexual Orientation,,Simple Assault,38.95428241,-77.0073494,2014,Sunday,January
Unit block of 7th St NE,2014-02-03 05:00:00+00:00,1525-1558,2014/02/03 05:00:00+00,2014,2,1D,Ward 6,Political Affiliation,,Threats,38.89037007,-76.99617131,2014,Monday,February
3600 block of Calvert St NW,2014-02-04 05:00:00+00:00,0900-1200,2014/02/04 05:00:00+00,2014,2,2D,Ward 3,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.92254601,-77.07189583,2014,Tuesday,February
400 block of 2nd St NW,2014-02-07 05:00:00+00:00,0650-0653,2014/02/07 05:00:00+00,2014,2,1D,Ward 6,Gender Identity/Expression,,Simple Assault,38.89543686,-77.01478638,2014,Friday,February
1100 block of Connecticut Ave NW,2014-02-12 05:00:00+00:00,1000-1005,2014/02/12 05:00:00+00,2014,2,2D,Ward 2,Sexual Orientation,,Simple Assault,38.90423795,-77.0402985,2014,Wednesday,February
Unit block of Channing St NW,2014-02-18 05:00:00+00:00,2135-2140,2014/02/18 05:00:00+00,2014,2,3D,Ward 5,Sexual Orientation,,Threats,38.92237244,-77.01059508,2014,Tuesday,February
1300 block of Connecticut Ave NW,2014-02-20 05:00:00+00:00,2233,2014/02/20 05:00:00+00,2014,2,2D,Ward 2,Religion,Muslim,Damage/Defacing/Destruction of Property,38.90992743,-77.04360696,2014,Thursday,February
24th St NW and Pennsylvania Ave NW,2014-02-21 05:00:00+00:00,0150-0154,2014/02/21 05:00:00+00,2014,2,2D,Ward 2,Sexual Orientation,,Simple Assault,38.90297745,-77.05141648,2014,Friday,February
200 block of Upshur St NW,2014-02-23 05:00:00+00:00,1700-1711,2014/02/23 05:00:00+00,2014,2,4D,Ward 4,Disability,,Simple Assault,38.94218884,-77.01454612,2014,Sunday,February
1100 block of Summer Rd SE,2014-02-26 05:00:00+00:00,2019,2014/02/26 05:00:00+00,2014,2,7D,Ward 8,Sexual Orientation,,Simple Assault,38.86077206,-76.99756691,2014,Wednesday,February
4700 block of Blagden Terrace NW,2014-03-03 05:00:00+00:00,1700,2014/03/03 05:00:00+00,2014,3,4D,Ward 4,Sexual Orientation,,Sexual Abuse,38.94839812,-77.04015781,2014,Monday,March
5900 block of Georgia Ave NW,2014-03-16 04:00:00+00:00,1601-1615,2014/03/16 04:00:00+00,2014,3,4D,Ward 4,Sexual Orientation,,Simple Assault,38.96197956,-77.02794983,2014,Sunday,March
1400 block of Congress Pl SE,2014-03-18 04:00:00+00:00,1920-1929,2014/03/18 04:00:00+00,2014,3,7D,Ward 8,Gender Identity/Expression,,Threats,38.8468515,-76.9837878,2014,Tuesday,March
5200 block of F St SE,2014-04-14 04:00:00+00:00,1845-1850,2014/04/14 04:00:00+00,2014,4,6D,Ward 7,Gender Identity/Expression,,ADW,38.88147275,-76.92801227,2014,Monday,April
600 block of Michigan Ave NE,2014-04-15 04:00:00+00:00,1455-1500,2014/04/15 04:00:00+00,2014,4,5D,Ward 5,Gender Identity/Expression,,Robbery,38.93280757,-76.99703843,2014,Tuesday,April
1700 block of U St NW,2014-04-19 04:00:00+00:00,1900-1901,2014/04/19 04:00:00+00,2014,4,3D,Ward 1/Ward 2,Sexual Orientation,,Simple Assault,38.91700401,-77.03984817,2014,Saturday,April
2400 block of Virginia Ave NW,2014-04-22 04:00:00+00:00,1725,2014/04/22 04:00:00+00,2014,4,2D,Ward 2,Homelessness,,Simple Assault,38.89804837,-77.05179937,2014,Tuesday,April
1400 block of K St NW,2014-05-12 04:00:00+00:00,1700-1910,2014/05/13 04:00:00+00,2014,5,2D,Ward 2,Religion,Jewish,Damage/Defacing/Destruction of Property,38.90252277,-77.03279345,2014,Monday,May
3400 block of 14th St NW,2014-05-15 04:00:00+00:00,0150-0153,2014/05/15 04:00:00+00,2014,5,4D,Ward 1,Gender Identity/Expression,,ADW,38.93160663,-77.03273555,2014,Thursday,May
1200 block of 25th St NW,2014-05-23 04:00:00+00:00,0439,2014/05/23 04:00:00+00,2014,5,2D,Ward 2,Race,White,Damage/Defacing/Destruction of Property,38.90623386,-77.05329615,2014,Friday,May
Unit block of Forrester St SW,2014-05-24 04:00:00+00:00,1248,2014/05/24 04:00:00+00,2014,5,7D,Ward 8,Sexual Orientation,,Simple Assault,38.82515117,-77.00727323,2014,Saturday,May
1300 block of Corcoran St NW,2014-05-24 04:00:00+00:00,1520-1522,2014/05/24 04:00:00+00,2014,5,3D,Ward 2,Race,Black,Damage/Defacing/Destruction of Property,38.91186803,-77.0307854,2014,Saturday,May
1600 block of T St SE,2014-06-08 04:00:00+00:00,1500,2014/06/08 04:00:00+00,2014,6,6D,Ward 8,Sexual Orientation,,Threats,38.86726593,-76.98150102,2014,Sunday,June
400 block of New Jersey Ave SE,2014-06-10 04:00:00+00:00,1342-1722,2014/06/10 04:00:00+00,2014,6,1D,Ward 6,Religion,Muslim,Threats,38.88463789,-77.00710157,2014,Tuesday,June
5000 block of Georgia Ave NW,2014-06-18 04:00:00+00:00,2335-2338,2014/06/18 04:00:00+00,2014,6,4D,Ward 4,Race,Unspecified,ADW,38.95116997,-77.02733312,2014,Wednesday,June
3400 block of 14th St NW,2014-06-29 04:00:00+00:00,0226-0233,2014/06/29 04:00:00+00,2014,6,4D,Ward 1,Sexual Orientation,,Threats,38.93160663,-77.03273555,2014,Sunday,June
400 block of L St NW,2014-07-02 04:00:00+00:00,1500-1504,2014/07/02 04:00:00+00,2014,7,1D,Ward 6,Sexual Orientation,,Simple Assault,38.9037338,-77.01754994,2014,Wednesday,July
3700 block of Georgia Ave NW,2014-07-05 04:00:00+00:00,0305-0309,2014/07/05 04:00:00+00,2014,7,4D,Ward 4,Sexual Orientation,,ADW,38.93696915,-77.02439858,2014,Saturday,July
1300 block of New Hampshire Ave NW,2014-07-08 04:00:00+00:00,1155,2014/07/08 04:00:00+00,2014,7,2D,Ward 2,Religion,Jewish,Damage/Defacing/Destruction of Property,38.90765101,-77.04530051,2014,Tuesday,July
63rd St NE and Eastern Ave NE,2014-07-16 04:00:00+00:00,0509,2014/07/16 04:00:00+00,2014,7,6D,Ward 7,Gender Identity/Expression,,Threats,38.89400863,-76.91082174,2014,Wednesday,July
900 block of U St NW,2014-07-20 04:00:00+00:00,1844-1845,2014/07/20 04:00:00+00,2014,7,3D,Ward 1,Gender Identity/Expression,,Simple Assault,38.91699641,-77.02463447,2014,Sunday,July
2200 block of Savannah St SE,2014-07-25 04:00:00+00:00,0817,2014/07/25 04:00:00+00,2014,7,7D,Ward 8,Gender Identity/Expression,,ADW,38.84778199,-76.97190717,2014,Friday,July
100 block of 42nd St NE,2014-07-27 04:00:00+00:00,0333,2014/07/27 04:00:00+00,2014,7,6D,Ward 7,Gender Identity/Expression,,Threats,38.89241485,-76.94261136,2014,Sunday,July
1600 block of 17th St NW,2014-07-28 04:00:00+00:00,0255-0257,2014/07/28 04:00:00+00,2014,7,3D,Ward 2,Race,Black,Simple Assault,38.9114974,-77.03848454,2014,Monday,July
1300 block of Missouri Ave NW,2014-08-02 04:00:00+00:00,1541-1548,2014/08/02 04:00:00+00,2014,8,4D,Ward 4,Gender Identity/Expression,,Threats,38.96167228,-77.03084775,2014,Saturday,August
100 block of Longfellow St NW,2014-08-02 04:00:00+00:00,1311,2014/08/02 04:00:00+00,2014,8,4D,Ward 4,Race,Black,Simple Assault,38.95766092,-77.01211601,2014,Saturday,August
Mapleview Pl SE and Martin Luther King Jr Ave SE,2014-08-02 04:00:00+00:00,1620-1627,2014/08/02 04:00:00+00,2014,8,7D,Ward 8,Gender Identity/Expression,,Robbery,38.8638056,-76.99039693,2014,Saturday,August
1900 block of 14th St NW,2014-08-03 04:00:00+00:00,0420-0421,2014/08/03 04:00:00+00,2014,8,3D,Ward 1/Ward 2,Race,Black,Simple Assault,38.91592868,-77.0319536,2014,Sunday,August
600 block of 24th St NE,2014-08-11 04:00:00+00:00,1830-1839,2014/08/11 04:00:00+00,2014,8,5D,Ward 5,Sexual Orientation,,Simple Assault,38.8995544,-76.9723347,2014,Monday,August
1200 block of Queen St NE,2014-08-11 04:00:00+00:00,1000,2014/08/13 04:00:00+00,2014,8,5D,Ward 5,Ethnicity/National Origin,Asian,Damage/Defacing/Destruction of Property,38.90659976,-76.98608038,2014,Monday,August
100 block of Q St NW,2014-08-13 04:00:00+00:00,1935,2014/08/13 04:00:00+00,2014,8,3D,Ward 5,Gender Identity/Expression,,Simple Assault,38.9111208,-77.01367272,2014,Wednesday,August
1700 block of Euclid St NW,2014-08-15 04:00:00+00:00,0144-0200,2014/08/15 04:00:00+00,2014,8,3D,Ward 1,Sexual Orientation,,Simple Assault,38.92313777,-77.03961023,2014,Friday,August
5900 block of Georgia Ave NW,2014-09-05 04:00:00+00:00,0840-0845,2014/09/05 04:00:00+00,2014,9,4D,Ward 4,Sexual Orientation,,Simple Assault,38.96197956,-77.02794983,2014,Friday,September
33rd St NW and M St NW,2014-09-13 04:00:00+00:00,0034-0035,2014/09/13 04:00:00+00,2014,9,2D,Ward 2,Sexual Orientation,,ADW,38.90511008,-77.06604111,2014,Saturday,September
1200 block of Meigs Pl NE,2014-09-17 04:00:00+00:00,1300-1510,2014/09/17 04:00:00+00,2014,9,5D,Ward 5,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.90773872,-76.98489505,2014,Wednesday,September
3600 block of 14th St NW,2014-09-20 04:00:00+00:00,0230-0317,2014/09/20 04:00:00+00,2014,9,4D,Ward 1,Gender Identity/Expression,,Simple Assault,38.93667092,-77.03273026,2014,Saturday,September
2300 block of Fairlawn Ave SE,2014-10-13 04:00:00+00:00,2255-2345,2014/10/13 04:00:00+00,2014,10,6D,Ward 7,Race,White,Damage/Defacing/Destruction of Property,38.87475089,-76.97186491,2014,Monday,October
5200 block of Loughboro Rd NW,2014-10-16 04:00:00+00:00,1906-1908,2014/10/16 04:00:00+00,2014,10,2D,Ward 3,Race,Black,Simple Assault,38.93573904,-77.10619468,2014,Thursday,October
7th St NW and G ST NW,2014-10-31 04:00:00+00:00,2350-2359,2014/11/01 04:00:00+00,2014,11,1D,Ward 2,Sexual Orientation,,Simple Assault,38.89844633,-77.02191439,2014,Friday,October
1600 block of Good Hope Rd SE,2014-11-02 04:00:00+00:00,1727-1945,2014/11/02 04:00:00+00,2014,11,7D,Ward 8,Sexual Orientation,,Simple Assault,38.86621888,-76.98207154,2014,Sunday,November
300 block of G St SW,2014-11-02 04:00:00+00:00,1000,2014/11/02 04:00:00+00,2014,11,1D,Ward 6,Race,White,Threats,38.88128935,-77.01637571,2014,Sunday,November
